,brand,name,price,spec_rating,processor,CPU,Ram,ROM,ROM_type,GPU,display_size,resolution,OS,warranty
362,Acer,Aspire 3 NX.KDESI.008 Laptop,30990,,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB DDR5 ,512GB,SSD,AMD Radeon AMD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
363,Lenovo,IdeaPad Slim 3 82XQ008EIN Laptop,33790,,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB LPDDR5 ,512GB,SSD,AMD Radeon 610M Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
364,MSI,Thin GF63 11UCX-1476IN Gaming Laptop,51990,72.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050 ,15.6inches,1920x1080pixels,Windows 11 OS,2 Year Warranty
365,Asus,Vivobook 15 X1504ZA-NJ521WS Laptop,45990,,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB DDR4 ,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
366,MSI,Thin GF63 11UC-1475IN Gaming Laptop,51990,70.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050 ,15.6inches,1920x1080pixels,Windows 11 OS,2 Year Warranty
367,Lenovo,V15 G3 IAP 82TTA00UIH Laptop,34099,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB DDR4 ,512GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,DOS OS,1 Year Warranty
368,HP,Pavilion 15-EH3101AU Laptop,65600,66.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16GB DDR4 ,512GB,SSD,AMD Radeon Vega 8 Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
369,Lenovo,V15 G4 82YU00W6IN Laptop,27990,,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB LPDDR5 ,512GB,SSD,AMD Radeon Graphics,15.6inches,1920x1080pixels,DOS OS,1 Year Warranty
370,Lenovo,V14 G3 IAP Laptop,46990,,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB DDR4 ,512GB,SSD,Intel Integrated UHD,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
371,Dell,‎G16-7630 2023 Gaming Laptop,161590,78.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16GB DDR5 ,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16inches,2560x1600pixels,Windows 11 OS,1 Year Warranty
372,Dell,Inspiron 7430 IC7430FD64T001ORS1 Laptop,98990,,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR5 ,512GB,SSD,Intel Iris Xe Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
373,Infinix,INBook X2 Slim Series Laptop,28990,,11th Gen Intel Core i3  1115G4,"Dual Core, 4 Threads",8GB LPDDR4X ,512GB,SSD,Intel Integrated UHD Graphics,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
374,Lenovo,Legion 5 Pro 2023 Gaming Laptop,172990,79.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",32GB DDR5 ,1TB,SSD,16GB NVIDIA GeForce RTX 4090,16inches,2560x1600pixels,Windows 11 OS,1 Year Warranty
375,Acer,One 14 Z8-415UN.599SI.009 Laptop,25990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB DDR4 ,256GB,SSD,‎Intel Iris Xe Graphics,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
376,HP,Victus 15-fb0136AX Gaming Laptop,61990,66.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
377,Asus,Zenbook 14X OLED 2023 UM5401QA-KM751WS Laptop,76990,64.0,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",16GB LPDDR4X ,1TB,SSD,AMD Radeon AMD,14inches,2880x1800pixels,Windows 11 OS,1 Year Warranty
378,Dell,G15-5530 Gaming Laptop,126790,73.0,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16GB DDR5 ,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
